calved,calving_date,lost,Herd,id,season,season_yr,dist_to_last_yr,mean_diff_dist,mean_ln_dist,prop_forest
TRUE,2017-05-22,FALSE,Fogo,FO2016002,calving,2017,4236.128825,1986.430047,0.361345572,0.622273249
TRUE,2017-05-22,FALSE,Fogo,FO2016008,calving,2017,6251.78356,3482.752281,0.600151933,0.747923231
TRUE,2017-05-31,TRUE,Fogo,FO2016003,calving,2017,225.4312513,1670.550272,0.169134145,0.53777905
TRUE,2018-06-11,TRUE,Fogo,FO2016003,calving,2018,228.8501735,3526.954178,0.381634665,0.538395415
TRUE,2017-06-01,TRUE,Fogo,FO2016004,calving,2017,24.2639378,1338.085101,0.0997859,0.612467682
TRUE,2017-06-16,TRUE,Fogo,FO2016005,calving,2017,1458.215533,1767.028475,0.181908582,0.209709853
TRUE,2018-06-18,FALSE,Fogo,FO2016005,calving,2018,3116.794592,3628.80255,0.543055436,0.566762178
TRUE,2017-06-01,FALSE,Fogo,FO2016010,calving,2017,2293.621382,1432.369995,0.129939457,0.0625
TRUE,2017-05-30,TRUE,Fogo,FO2016012,calving,2017,4453.330049,2428.252052,0.428777281,0.668959587
TRUE,2018-06-05,FALSE,Fogo,FO2016012,calving,2018,3107.09164,3125.169467,0.498868821,0.410484102
TRUE,2017-05-31,TRUE,Fogo,FO2016013,calving,2017,14425.69658,7157.831575,0.969496775,0.255154639
TRUE,2018-05-31,FALSE,Fogo,FO2016013,calving,2018,15365.57162,8005.640918,0.84055979,0.690278176
TRUE,2019-05-29,TRUE,Fogo,FO2016013,calving,2019,95.26979887,1609.790103,0.235346593,0.692771084
TRUE,2017-06-02,FALSE,Fogo,FO2016014,calving,2017,2688.701537,2005.51697,0.415459819,0.557212504
TRUE,2017-05-27,FALSE,Fogo,FO2016015,calving,2017,225.5992585,948.9902513,0.167963578,0.691712073
TRUE,2018-05-25,TRUE,Fogo,FO2016015,calving,2018,107.2792144,2737.883433,0.368370706,0.672398968
TRUE,2019-06-02,TRUE,Fogo,FO2016015,calving,2019,4293.000247,3374.007361,0.652307465,0.143267298
TRUE,2018-06-16,TRUE,Fogo,FO2017001,calving,2018,1189.726414,3792.144745,0.370062388,0.813253012
TRUE,2018-06-02,FALSE,Fogo,FO2017003,calving,2018,3164.6421,4017.304913,0.605950903,0.573230152
TRUE,2018-06-02,FALSE,Fogo,FO2017004,calving,2018,726.6919856,2899.706719,0.287192757,0.928018354
TRUE,2018-06-27,TRUE,Fogo,FO2017006,calving,2018,4077.577615,3074.26912,0.501621904,0.451114923
TRUE,2018-05-25,FALSE,Fogo,FO2017007,calving,2018,15982.80664,8001.794377,1.035786304,0.152722063
TRUE,2018-05-25,TRUE,Fogo,FO2017008,calving,2018,8514.272426,4430.477253,0.697630948,0.648339061
TRUE,2018-06-01,FALSE,Fogo,FO2017012,calving,2018,354.3124203,4471.484556,0.533811131,0.13063451
TRUE,2019-06-03,FALSE,Fogo,FO2018002,calving,2019,1975.05508,3644.915912,0.74587001,0.109392898
TRUE,2018-05-30,FALSE,Fogo,FO2017009,calving,2018,681.8740796,3544.046669,0.81300548,0.705477488
TRUE,2018-05-30,FALSE,Fogo,FO2017014,calving,2018,2811.170899,3633.675157,0.441244151,0.127543709
TRUE,2007-05-22,FALSE,Buchans,sc2006015,calving,2007,21133.17988,2276.630156,0.497433118,0.133103844
TRUE,2008-05-21,FALSE,Buchans,sc2006015,calving,2008,3167.757279,8219.67065,0.597641897,0.405971863
TRUE,2009-05-22,FALSE,Buchans,sc2006015,calving,2009,17921.31884,12082.30708,0.979427445,0.302492123
TRUE,2012-05-21,FALSE,Buchans,sc2006015,calving,2012,4117.930596,3533.613874,0.177576316,0.116012604
TRUE,2007-05-22,FALSE,Buchans,sc2006016,calving,2007,22859.33664,2440.724326,1.018137046,0.029006318
TRUE,2008-05-22,FALSE,Buchans,sc2006016,calving,2008,7177.932811,9407.738037,0.696792288,0.082734846
TRUE,2009-05-22,FALSE,Buchans,sc2006016,calving,2009,2393.48177,8334.188441,0.597700726,0.028177113
TRUE,2010-05-25,FALSE,Buchans,sc2006016,calving,2010,8804.05779,6345.953086,0.541657069,0.093382985
TRUE,2011-05-22,FALSE,Buchans,sc2006016,calving,2011,8229.100128,3628.238621,0.211022695,0.05588994
TRUE,2012-05-29,TRUE,Buchans,sc2006016,calving,2012,21728.76752,10324.0315,0.599512214,0.129603197
TRUE,2008-05-21,FALSE,Buchans,sc2006017,calving,2008,10046.77994,13975.42216,0.855159987,0.042431193
TRUE,2009-05-22,FALSE,Buchans,sc2006017,calving,2009,12085.97856,7695.328297,0.368114897,0.715677845
TRUE,2010-05-22,FALSE,Buchans,sc2006017,calving,2010,935.0603891,5048.106053,0.170463056,0.764250931
TRUE,2011-05-22,FALSE,Buchans,sc2006017,calving,2011,185.6028525,2913.11293,0.106970094,0.824475725
TRUE,2007-05-22,FALSE,Buchans,sc2006018,calving,2007,8854.824469,5268.573001,0.596245391,0.029807968
TRUE,2008-06-02,TRUE,Buchans,sc2006018,calving,2008,14251.61941,11739.60422,0.914131279,0.018067106
TRUE,2009-05-28,TRUE,Buchans,sc2006018,calving,2009,9069.518827,19950.31676,1.108843899,0.44096524
TRUE,2010-05-30,TRUE,Buchans,sc2006018,calving,2010,3093.036054,5893.457563,0.350191603,0.216208477
TRUE,2007-06-05,TRUE,Buchans,sc2006019,calving,2007,32978.96607,5819.745932,1.017740335,0.281653747
TRUE,2008-05-24,FALSE,Buchans,sc2006039,calving,2008,34768.39862,29990.49998,0.305090476,0.709049255
TRUE,2009-05-27,TRUE,Buchans,sc2006039,calving,2009,35686.23283,32348.26342,0.317660006,0.783319003
TRUE,2010-05-26,FALSE,Buchans,sc2006039,calving,2010,18490.91745,5896.478529,0.068716897,0.276425093
TRUE,2011-05-27,FALSE,Buchans,sc2006039,calving,2011,77770.39814,76179.44616,0.616581422,0.876146789
TRUE,2012-05-21,FALSE,Buchans,sc2006039,calving,2012,81944.80542,79015.71132,0.645739997,0.783605618
TRUE,2008-06-05,TRUE,Buchans,sc2006072,calving,2008,19027.57144,17219.81431,0.406463371,0.544020648
TRUE,2011-05-22,FALSE,Buchans,sc2006072,calving,2011,408.7031725,4626.02512,0.09369078,0.598623853
