Herd,season_yr,season,ID1,ID2,distance,dyadID
Fogo,2016,calving,FO2016001,FO2016014,24855.73188,FO2016001-FO2016014
Fogo,2016,calving,FO2016001,FO2016015,24764.29831,FO2016001-FO2016015
Fogo,2016,calving,FO2016001,FO2016004,19478.03574,FO2016001-FO2016004
Fogo,2016,calving,FO2016001,FO2016007,9667.102044,FO2016001-FO2016007
Fogo,2016,calving,FO2016001,FO2016008,22401.23597,FO2016001-FO2016008
Fogo,2016,calving,FO2016001,FO2016011,6287.931685,FO2016001-FO2016011
Fogo,2016,calving,FO2016001,FO2016005,16995.15307,FO2016001-FO2016005
Fogo,2016,calving,FO2016001,FO2016009,22891.3686,FO2016001-FO2016009
Fogo,2016,calving,FO2016001,FO2016010,26861.33459,FO2016001-FO2016010
Fogo,2016,calving,FO2016001,FO2016003,18193.40187,FO2016001-FO2016003
Fogo,2016,calving,FO2016001,FO2016013,15338.93068,FO2016001-FO2016013
Fogo,2016,calving,FO2016001,FO2016012,25540.77519,FO2016001-FO2016012
Fogo,2016,calving,FO2016001,FO2016002,22301.24092,FO2016001-FO2016002
Fogo,2016,calving,FO2016002,FO2016014,10309.4908,FO2016002-FO2016014
Fogo,2016,calving,FO2016002,FO2016015,4328.727403,FO2016002-FO2016015
Fogo,2016,calving,FO2016002,FO2016004,8176.048275,FO2016002-FO2016004
Fogo,2016,calving,FO2016002,FO2016007,12728.34318,FO2016002-FO2016007
Fogo,2016,calving,FO2016002,FO2016008,6842.38756,FO2016002-FO2016008
Fogo,2016,calving,FO2016002,FO2016011,17247.38472,FO2016002-FO2016011
Fogo,2016,calving,FO2016002,FO2016005,5335.877866,FO2016002-FO2016005
Fogo,2016,calving,FO2016002,FO2016009,1099.066623,FO2016002-FO2016009
Fogo,2016,calving,FO2016002,FO2016010,5127.554907,FO2016002-FO2016010
Fogo,2016,calving,FO2016002,FO2016003,8969.411963,FO2016002-FO2016003
Fogo,2016,calving,FO2016002,FO2016013,6994.179687,FO2016002-FO2016013
Fogo,2016,calving,FO2016002,FO2016001,22301.24092,FO2016001-FO2016002
Fogo,2016,calving,FO2016002,FO2016012,9996.62379,FO2016002-FO2016012
Fogo,2016,calving,FO2016003,FO2016014,18323.20091,FO2016003-FO2016014
Fogo,2016,calving,FO2016003,FO2016015,13270.63447,FO2016003-FO2016015
Fogo,2016,calving,FO2016003,FO2016004,1390.022745,FO2016003-FO2016004
Fogo,2016,calving,FO2016003,FO2016007,10788.95134,FO2016003-FO2016007
Fogo,2016,calving,FO2016003,FO2016008,14575.04089,FO2016003-FO2016008
Fogo,2016,calving,FO2016003,FO2016011,15387.25593,FO2016003-FO2016011
Fogo,2016,calving,FO2016003,FO2016005,6571.512059,FO2016003-FO2016005
Fogo,2016,calving,FO2016003,FO2016009,10061.59239,FO2016003-FO2016009
Fogo,2016,calving,FO2016003,FO2016010,10934.06469,FO2016003-FO2016010
Fogo,2016,calving,FO2016003,FO2016013,6663.526958,FO2016003-FO2016013
Fogo,2016,calving,FO2016003,FO2016001,18193.40187,FO2016001-FO2016003
Fogo,2016,calving,FO2016003,FO2016012,18278.41962,FO2016003-FO2016012
Fogo,2016,calving,FO2016003,FO2016002,8969.411963,FO2016002-FO2016003
Fogo,2016,calving,FO2016004,FO2016014,17917.33234,FO2016004-FO2016014
Fogo,2016,calving,FO2016004,FO2016015,12504.75396,FO2016004-FO2016015
Fogo,2016,calving,FO2016004,FO2016007,11749.39382,FO2016004-FO2016007
Fogo,2016,calving,FO2016004,FO2016008,14188.80652,FO2016004-FO2016008
Fogo,2016,calving,FO2016004,FO2016011,16436.81726,FO2016004-FO2016011
Fogo,2016,calving,FO2016004,FO2016005,6660.577078,FO2016004-FO2016005
Fogo,2016,calving,FO2016004,FO2016009,9275.00979,FO2016004-FO2016009
Fogo,2016,calving,FO2016004,FO2016010,9678.455015,FO2016004-FO2016010
