Herd,id,season_yr,distance,comparison,dyadID
Fogo,FO2016002,2017,4236.128825,self,FO2016002-FO2016002
Fogo,FO2016003,2017,225.4312513,self,FO2016003-FO2016003
Fogo,FO2016003,2018,228.8501735,self,FO2016003-FO2016003
Fogo,FO2016004,2017,24.2639378,self,FO2016004-FO2016004
Fogo,FO2016005,2017,1458.215533,self,FO2016005-FO2016005
Fogo,FO2016005,2018,3116.794592,self,FO2016005-FO2016005
Fogo,FO2016008,2017,6251.78356,self,FO2016008-FO2016008
Fogo,FO2016010,2017,2293.621382,self,FO2016010-FO2016010
Fogo,FO2016012,2017,4453.330049,self,FO2016012-FO2016012
Fogo,FO2016012,2018,3107.09164,self,FO2016012-FO2016012
Fogo,FO2016013,2017,14425.69658,self,FO2016013-FO2016013
Fogo,FO2016013,2018,15365.57162,self,FO2016013-FO2016013
Fogo,FO2016013,2019,95.26979887,self,FO2016013-FO2016013
Fogo,FO2016014,2017,2688.701537,self,FO2016014-FO2016014
Fogo,FO2016015,2017,225.5992585,self,FO2016015-FO2016015
Fogo,FO2016015,2018,107.2792144,self,FO2016015-FO2016015
Fogo,FO2016015,2019,4293.000247,self,FO2016015-FO2016015
Fogo,FO2017001,2018,1189.726414,self,FO2017001-FO2017001
Fogo,FO2017003,2018,3164.6421,self,FO2017003-FO2017003
Fogo,FO2017004,2018,726.6919856,self,FO2017004-FO2017004
Fogo,FO2017006,2018,4077.577615,self,FO2017006-FO2017006
Fogo,FO2017007,2018,15982.80664,self,FO2017007-FO2017007
Fogo,FO2017008,2018,8514.272426,self,FO2017008-FO2017008
Fogo,FO2017009,2018,681.8740796,self,FO2017009-FO2017009
Fogo,FO2017012,2018,354.3124203,self,FO2017012-FO2017012
Fogo,FO2017014,2018,2811.170899,self,FO2017014-FO2017014
Fogo,FO2018002,2019,1975.05508,self,FO2018002-FO2018002
Fogo,FO2016001,2016,24855.73188,conspecific,FO2016001-FO2016014
Fogo,FO2016001,2016,24764.29831,conspecific,FO2016001-FO2016015
Fogo,FO2016001,2016,19478.03574,conspecific,FO2016001-FO2016004
Fogo,FO2016001,2016,9667.102044,conspecific,FO2016001-FO2016007
Fogo,FO2016001,2016,22401.23597,conspecific,FO2016001-FO2016008
Fogo,FO2016001,2016,6287.931685,conspecific,FO2016001-FO2016011
Fogo,FO2016001,2016,16995.15307,conspecific,FO2016001-FO2016005
Fogo,FO2016001,2016,22891.3686,conspecific,FO2016001-FO2016009
Fogo,FO2016001,2016,26861.33459,conspecific,FO2016001-FO2016010
Fogo,FO2016001,2016,18193.40187,conspecific,FO2016001-FO2016003
Fogo,FO2016001,2016,15338.93068,conspecific,FO2016001-FO2016013
Fogo,FO2016001,2016,25540.77519,conspecific,FO2016001-FO2016012
Fogo,FO2016001,2016,22301.24092,conspecific,FO2016001-FO2016002
Fogo,FO2016002,2016,10309.4908,conspecific,FO2016002-FO2016014
Fogo,FO2016002,2016,4328.727403,conspecific,FO2016002-FO2016015
Fogo,FO2016002,2016,8176.048275,conspecific,FO2016002-FO2016004
Fogo,FO2016002,2016,12728.34318,conspecific,FO2016002-FO2016007
Fogo,FO2016002,2016,6842.38756,conspecific,FO2016002-FO2016008
Fogo,FO2016002,2016,17247.38472,conspecific,FO2016002-FO2016011
Fogo,FO2016002,2016,5335.877866,conspecific,FO2016002-FO2016005
Fogo,FO2016002,2016,1099.066623,conspecific,FO2016002-FO2016009
Fogo,FO2016002,2016,5127.554907,conspecific,FO2016002-FO2016010
Fogo,FO2016002,2016,8969.411963,conspecific,FO2016002-FO2016003
Fogo,FO2016002,2016,6994.179687,conspecific,FO2016002-FO2016013
Fogo,FO2016002,2016,9996.62379,conspecific,FO2016002-FO2016012
Fogo,FO2016003,2016,18323.20091,conspecific,FO2016003-FO2016014
Fogo,FO2016003,2016,13270.63447,conspecific,FO2016003-FO2016015
Fogo,FO2016003,2016,1390.022745,conspecific,FO2016003-FO2016004
Fogo,FO2016003,2016,10788.95134,conspecific,FO2016003-FO2016007
Fogo,FO2016003,2016,14575.04089,conspecific,FO2016003-FO2016008
Fogo,FO2016003,2016,15387.25593,conspecific,FO2016003-FO2016011
Fogo,FO2016003,2016,6571.512059,conspecific,FO2016003-FO2016005
Fogo,FO2016003,2016,10061.59239,conspecific,FO2016003-FO2016009
Fogo,FO2016003,2016,10934.06469,conspecific,FO2016003-FO2016010
Fogo,FO2016003,2016,6663.526958,conspecific,FO2016003-FO2016013
Fogo,FO2016003,2016,18278.41962,conspecific,FO2016003-FO2016012
Fogo,FO2016004,2016,17917.33234,conspecific,FO2016004-FO2016014
Fogo,FO2016004,2016,12504.75396,conspecific,FO2016004-FO2016015
Fogo,FO2016004,2016,11749.39382,conspecific,FO2016004-FO2016007
Fogo,FO2016004,2016,14188.80652,conspecific,FO2016004-FO2016008
Fogo,FO2016004,2016,16436.81726,conspecific,FO2016004-FO2016011
Fogo,FO2016004,2016,6660.577078,conspecific,FO2016004-FO2016005
Fogo,FO2016004,2016,9275.00979,conspecific,FO2016004-FO2016009
Fogo,FO2016004,2016,9678.455015,conspecific,FO2016004-FO2016010
Fogo,FO2016004,2016,7084.81725,conspecific,FO2016004-FO2016013
Fogo,FO2016004,2016,17800.34508,conspecific,FO2016004-FO2016012
Fogo,FO2016005,2016,12176.35103,conspecific,FO2016005-FO2016014
Fogo,FO2016005,2016,8604.680884,conspecific,FO2016005-FO2016015
Fogo,FO2016005,2016,7527.065984,conspecific,FO2016005-FO2016007
Fogo,FO2016005,2016,8477.095854,conspecific,FO2016005-FO2016008
Fogo,FO2016005,2016,12215.57615,conspecific,FO2016005-FO2016011
Fogo,FO2016005,2016,6055.478289,conspecific,FO2016005-FO2016009
Fogo,FO2016005,2016,9969.182317,conspecific,FO2016005-FO2016010
Fogo,FO2016005,2016,1660.227928,conspecific,FO2016005-FO2016013
Fogo,FO2016005,2016,12299.23949,conspecific,FO2016005-FO2016012
Fogo,FO2016007,2016,15981.77069,conspecific,FO2016007-FO2016014
Fogo,FO2016007,2016,15114.17641,conspecific,FO2016007-FO2016015
Fogo,FO2016007,2016,13075.28495,conspecific,FO2016007-FO2016008
Fogo,FO2016007,2016,4809.332444,conspecific,FO2016007-FO2016011
Fogo,FO2016007,2016,13258.78379,conspecific,FO2016007-FO2016009
Fogo,FO2016007,2016,17496.0974,conspecific,FO2016007-FO2016010
Fogo,FO2016007,2016,5926.95174,conspecific,FO2016007-FO2016013
Fogo,FO2016007,2016,16525.77268,conspecific,FO2016007-FO2016012
Fogo,FO2016008,2016,3749.084262,conspecific,FO2016008-FO2016014
Fogo,FO2016008,2016,4359.307862,conspecific,FO2016008-FO2016015
Fogo,FO2016008,2016,16363.05826,conspecific,FO2016008-FO2016011
Fogo,FO2016008,2016,6031.747562,conspecific,FO2016008-FO2016009
Fogo,FO2016008,2016,10787.42343,conspecific,FO2016008-FO2016010
Fogo,FO2016008,2016,9486.395977,conspecific,FO2016008-FO2016013
Fogo,FO2016008,2016,3827.948354,conspecific,FO2016008-FO2016012
Fogo,FO2016009,2016,9368.81911,conspecific,FO2016009-FO2016014
Fogo,FO2016009,2016,3229.916901,conspecific,FO2016009-FO2016015
Fogo,FO2016009,2016,17659.60162,conspecific,FO2016009-FO2016011
Fogo,FO2016009,2016,5221.314165,conspecific,FO2016009-FO2016010
Fogo,FO2016009,2016,7689.31509,conspecific,FO2016009-FO2016013
Fogo,FO2016009,2016,9005.413899,conspecific,FO2016009-FO2016012
Fogo,FO2016010,2016,13517.69398,conspecific,FO2016010-FO2016014
Fogo,FO2016010,2016,6702.348834,conspecific,FO2016010-FO2016015
Fogo,FO2016010,2016,22155.42855,conspecific,FO2016010-FO2016011
Fogo,FO2016010,2016,11586.08621,conspecific,FO2016010-FO2016013
Fogo,FO2016010,2016,12894.42233,conspecific,FO2016010-FO2016012
Fogo,FO2016011,2016,18628.61092,conspecific,FO2016011-FO2016014
Fogo,FO2016011,2016,19118.20269,conspecific,FO2016011-FO2016015
Fogo,FO2016011,2016,10671.54325,conspecific,FO2016011-FO2016013
Fogo,FO2016011,2016,19344.98919,conspecific,FO2016011-FO2016012
Fogo,FO2016012,2016,993.8462149,conspecific,FO2016012-FO2016014
Fogo,FO2016012,2016,6251.592767,conspecific,FO2016012-FO2016015
Fogo,FO2016012,2016,13305.44846,conspecific,FO2016012-FO2016013
Fogo,FO2016013,2016,13077.97775,conspecific,FO2016013-FO2016014
Fogo,FO2016013,2016,10108.31651,conspecific,FO2016013-FO2016015
Fogo,FO2016014,2016,6823.007371,conspecific,FO2016014-FO2016015
Fogo,FO2016002,2017,4796.930432,conspecific,FO2016002-FO2016014
Fogo,FO2016002,2017,3474.019804,conspecific,FO2016002-FO2017011
Fogo,FO2016002,2017,7350.420102,conspecific,FO2016002-FO2017003
Fogo,FO2016002,2017,317.4028977,conspecific,FO2016002-FO2016015
Fogo,FO2016002,2017,12401.97511,conspecific,FO2016002-FO2016004
Fogo,FO2016002,2017,7487.668376,conspecific,FO2016002-FO2017007
Fogo,FO2016002,2017,14476.1921,conspecific,FO2016002-FO2017004
Fogo,FO2016002,2017,2700.148098,conspecific,FO2016002-FO2016008
Fogo,FO2016002,2017,23.01197235,conspecific,FO2016002-FO2017009
Fogo,FO2016002,2017,15031.66324,conspecific,FO2016002-FO2017014
Fogo,FO2016002,2017,6493.048282,conspecific,FO2016002-FO2017006
Fogo,FO2016002,2017,17559.95739,conspecific,FO2016002-FO2017001
Fogo,FO2016002,2017,7157.669372,conspecific,FO2016002-FO2016005
Fogo,FO2016002,2017,20645.34007,conspecific,FO2016002-FO2017013
Fogo,FO2016002,2017,4849.813454,conspecific,FO2016002-FO2016010
Fogo,FO2016002,2017,13106.96723,conspecific,FO2016002-FO2016003
Fogo,FO2016002,2017,7095.163991,conspecific,FO2016002-FO2016013
Fogo,FO2016002,2017,16385.13881,conspecific,FO2016002-FO2017012
Fogo,FO2016002,2017,9569.592291,conspecific,FO2016002-FO2017008
Fogo,FO2016002,2017,6915.024095,conspecific,FO2016002-FO2016012
Fogo,FO2016003,2017,15513.75141,conspecific,FO2016003-FO2016014
Fogo,FO2016003,2017,12676.873,conspecific,FO2016003-FO2017011
Fogo,FO2016003,2017,13651.97845,conspecific,FO2016003-FO2017003
Fogo,FO2016003,2017,13032.02824,conspecific,FO2016003-FO2016015
Fogo,FO2016003,2017,1544.134431,conspecific,FO2016003-FO2016004
Fogo,FO2016003,2017,14252.97984,conspecific,FO2016003-FO2017007
Fogo,FO2016003,2017,9606.458855,conspecific,FO2016003-FO2017004
Fogo,FO2016003,2017,10612.34934,conspecific,FO2016003-FO2016008
Fogo,FO2016003,2017,13083.9557,conspecific,FO2016003-FO2017009
Fogo,FO2016003,2017,4606.89611,conspecific,FO2016003-FO2017014
Fogo,FO2016003,2017,9895.53856,conspecific,FO2016003-FO2017006
Fogo,FO2016003,2017,8829.368734,conspecific,FO2016003-FO2017001
Fogo,FO2016003,2017,7420.474393,conspecific,FO2016003-FO2016005
Fogo,FO2016003,2017,15824.70595,conspecific,FO2016003-FO2017013
Fogo,FO2016003,2017,12531.0831,conspecific,FO2016003-FO2016010
Fogo,FO2016003,2017,19176.99065,conspecific,FO2016003-FO2016013
Fogo,FO2016003,2017,4264.774411,conspecific,FO2016003-FO2017012
Fogo,FO2016003,2017,14261.44818,conspecific,FO2016003-FO2017008
Fogo,FO2016003,2017,15345.26067,conspecific,FO2016003-FO2016012
Fogo,FO2016004,2017,15228.04293,conspecific,FO2016004-FO2016014
Fogo,FO2016004,2017,11624.35515,conspecific,FO2016004-FO2017011
Fogo,FO2016004,2017,13781.60593,conspecific,FO2016004-FO2017003
Fogo,FO2016004,2017,12360.9456,conspecific,FO2016004-FO2016015
Fogo,FO2016004,2017,14368.46758,conspecific,FO2016004-FO2017007
Fogo,FO2016004,2017,10791.96293,conspecific,FO2016004-FO2017004
Fogo,FO2016004,2017,9803.021677,conspecific,FO2016004-FO2016008
Fogo,FO2016004,2017,12379.08211,conspecific,FO2016004-FO2017009
Fogo,FO2016004,2017,6114.664579,conspecific,FO2016004-FO2017014
Fogo,FO2016004,2017,9974.704706,conspecific,FO2016004-FO2017006
Fogo,FO2016004,2017,10325.31699,conspecific,FO2016004-FO2017001
Fogo,FO2016004,2017,7453.26352,conspecific,FO2016004-FO2016005
Fogo,FO2016004,2017,17183.5655,conspecific,FO2016004-FO2017013
Fogo,FO2016004,2017,11356.56725,conspecific,FO2016004-FO2016010
Fogo,FO2016004,2017,18786.17199,conspecific,FO2016004-FO2016013
Fogo,FO2016004,2017,5773.260453,conspecific,FO2016004-FO2017012
Fogo,FO2016004,2017,14620.52118,conspecific,FO2016004-FO2017008
Fogo,FO2016004,2017,15327.65089,conspecific,FO2016004-FO2016012
Fogo,FO2016005,2017,8256.486563,conspecific,FO2016005-FO2016014
Fogo,FO2016005,2017,8568.435917,conspecific,FO2016005-FO2017011
Fogo,FO2016005,2017,6330.15127,conspecific,FO2016005-FO2017003
Fogo,FO2016005,2017,6954.417953,conspecific,FO2016005-FO2016015
